Codigo_Mat;Material;Grupo ;Ing1;Ing2;Ing3;Almacen;Total;Unidad_Med
1000099;BUJE PVC SOLDADO DE 3 X 2.1/2;1300;0;0;0;0;0;UN
1000100;BUJE PVC SOLDADO DE 4 X 2;1300;0;0;0;0;0;UN
1000101;BUJE PVC SOLDADO DE 4 X 2.1/2;1300;0;0;0;0;0;UN
1000102;BUJE PVC SOLDADO DE 4 X 3;1300;0;0;0;0;0;UN
1000103;"TAPON PVC ROSCADO DE 1/2""";1300;0;0;0;0;0;UN
1000104;"TAPON PVC ROSCADO DE 3/4""";1300;0;0;0;0;0;UN
1000105;"TAPON PVC ROSCADO DE 1""";1300;0;0;0;0;0;UN
1000106;"TAPON PVC ROSCADO DE 1.1/4""";1300;0;0;0;0;0;UN
1000107;"TAPON PVC ROSCADO DE 1.1/2""";1300;0;0;0;0;0;UN
1000108;"TAPON PVC ROSCADO DE 2""";1300;0;0;0;0;0;UN
1000109;"TAPON PVC ROSCADO DE 2.1/2""";1300;0;0;0;0;0;UN
1000110;"TAPON PVC ROSCADO DE 3""";1300;0;0;0;0;0;UN
1000111;"TAPON PVC ROSCADO DE 4""";1300;0;0;0;0;0;UN
1000112;"BUJE PVC ROSCADO DE 1/2"" X 3/8""";1300;0;0;0;0;0;UN
1000113;"BUJE PVC ROSCADO DE 3/4"" X 1/2""";1300;0;0;0;0;0;UN
1000114;"BUJE PVC ROSCADO DE 1"" X 1/2""";1300;0;0;0;0;0;UN
1000115;"BUJE PVC ROSCADO DE 1"" X 3/4""";1300;0;0;0;0;0;UN
1000116;"BUJE PVC ROSCADO DE 1.1/4"" X 1/2""";1300;0;0;0;0;0;UN
1000117;"BUJE PVC ROSCADO DE 1.1/4"" X 3/4""";1300;0;0;0;0;0;UN
1000118;"BUJE PVC ROSCADO DE 1.1/4"" X 1""";1300;0;0;0;0;0;UN
1000119;"BUJE PVC ROSCADO DE 1.1/2"" X 1/2""";1300;0;0;0;0;0;UN
1000120;"BUJE PVC ROSCADO DE 1.1/2"" X 3/4""";1300;0;0;0;0;0;UN
1000121;"BUJE PVC ROSCADO DE 1.1/2"" X 1""";1300;0;0;0;0;0;UN
1000122;"BUJE PVC ROSCADO DE 1.1/2"" X 1.1/4""";1300;0;0;0;0;0;UN
1000123;"BUJE PVC ROSCADO DE 2"" X 1/2""";1300;0;0;0;0;0;UN
1000124;"BUJE PVC ROSCADO DE 2"" X 3/4""";1300;0;0;0;0;0;UN
1000125;"BUJE PVC ROSCADO DE 2"" X 1""";1300;0;0;0;0;0;UN
1000126;"BUJE PVC ROSCADO DE 2"" X 1.1/4""";1300;0;0;0;0;0;UN
1000127;"BUJE PVC ROSCADO DE 2"" X 1.1/2""";1300;0;0;0;0;0;UN
1000128;"BUJE PVC ROSCADO DE 2 1/2"" X 1.1/2""";1300;0;0;0;0;0;UN
1000129;"BUJE PVC ROSCADO DE 2 1/2"" X 2""";1300;0;0;0;0;0;UN
1000130;"BUJE PVC ROSCADO DE 3"" X 2""";1300;0;0;0;0;0;UN
1000131;"BUJE PVC ROSCADO DE 3"" X 2 1/2""";1300;0;0;0;0;0;UN
1000132;"BUJE PVC ROSCADO DE 4"" X 2""";1300;0;0;0;0;0;UN
1000133;"BUJE PVC ROSCADO DE 4"" X 3""";1300;0;0;0;0;0;UN
1000134;"UNION RAPIDA PVC UNION PLATINO DE 2""";1300;0;0;0;0;0;UN
1000135;"UNION RAPIDA PVC UNION PLATINO DE 2.1/2""";1300;0;0;0;0;0;UN
1000136;"UNION RAPIDA PVC UNION PLATINO DE 3""";1300;0;0;0;0;0;UN
1000137;"UNION RAPIDA PVC UNION PLATINO DE 4""";1300;0;0;0;0;0;UN
1000138;"UNION RAPIDA PVC UNION PLATINO DE 6""";1300;0;0;0;0;0;UN
1000139;"UNION RAPIDA PVC UNION PLATINO DE 8""";1300;0;0;0;0;0;UN
1000140;"UNION RAPIDA PVC UNION PLATINO DE 10""";1300;0;0;0;0;0;UN
1000141;"UNION RAPIDA PVC UNION PLATINO DE 12""";1300;0;0;0;0;0;UN
1000142;"COLLAR PVC DE DERIVACION DE 2"" X 1/2""";1300;0;0;0;0;0;UN
1000143;"COLLAR PVC DE DERIVACION DE 2"" X 3/4""";1300;0;0;0;0;0;UN
1000144;"COLLAR PVC DE DERIVACION 2.1/2"" X 1/2""";1300;0;0;0;0;0;UN
1000145;"COLLAR PVC DE DERIVACION 2.1/2"" X 3/4""";1300;0;0;0;0;0;UN
1000146;"COLLAR PVC DE DERIVACION 3"" X 1/2""";1300;0;0;0;0;0;UN
1000147;"COLLAR PVC DE DERIVACION 3"" X 3/4""";1300;0;0;0;0;0;UN
1000148;"COLLAR PVC DE DERIVACION 4"" X 1/2""";1300;0;0;0;0;0;UN
1000149;"COLLAR PVC DE DERIVACION 4"" X 3/4""";1300;0;0;0;0;0;UN
1000150;"COLLAR PVC DE DERIVACION 6"" X 1/2""";1300;0;0;0;0;0;UN
1000151;"COLLAR PVC DE DERIVACION 6"" X 3/4""";1300;0;0;0;0;0;UN
1000152;"COLLAR PVC DE DERIVACION 8"" X 1""";1300;0;0;0;0;0;UN
1000153;SOLDADURA LIQUIDA PARA PVC 1/16 DE GALON;3700;0;0;0;0;0;UN
1000154;SOLDADURA LIQUIDA PARA PVC 1/8 DE GALON;3700;0;0;0;0;0;UN
